round,layer_index,avg_diffs,std_dev,shape
12,0,161459.525,171639.5816767635,"(5, 5, 1, 32)"
12,1,209023.21875,296744.0993068285,"(32,)"
12,2,228100.46875,220346.43934169103,"(32,)"
12,3,163747.03125,115477.8774859292,"(32,)"
12,4,163497.5625,244741.33995122503,"(32,)"
12,5,70473.75,61414.8270493372,"(32,)"
12,6,238794.030703125,239119.13863988203,"(5, 5, 32, 16)"
12,7,305567.125,147822.40460848407,"(16,)"
12,8,335994.375,280114.9250945661,"(16,)"
12,9,784163.375,634879.8561925787,"(16,)"
12,10,935534.5,655118.0913792375,"(16,)"
12,11,1153626.375,648242.8458391264,"(16,)"
12,12,235541.772734375,226913.78926162477,"(5, 5, 16, 32)"
12,13,528590.34375,448029.68590217386,"(32,)"
12,14,282394.0625,242315.48915862475,"(32,)"
12,15,362266.78125,276511.2157703479,"(32,)"
12,16,1322482.9375,1074063.2512143413,"(32,)"
12,17,1836983.9375,2551237.513650201,"(32,)"
12,18,163995.82323025173,240550.42788711414,"(4608, 200)"
12,19,127105.48,182614.00142267186,"(200,)"
12,20,201108.7725,444268.03153226746,"(200, 2)"
12,21,36487.0,0.0,"(2,)"
1,0,541342.385,456718.6671106561,"(5, 5, 1, 32)"
1,1,721994.75,446687.6714889135,"(32,)"
1,2,624192.96875,575884.4216438141,"(32,)"
1,3,945255.03125,498246.80178981606,"(32,)"
1,4,1385755.0625,1946599.5392099132,"(32,)"
1,5,45219461.15625,155800.16017504391,"(32,)"
1,6,651636.656484375,524982.9717766157,"(5, 5, 32, 16)"
1,7,824993.3125,323584.1769649589,"(16,)"
1,8,507249.1875,385326.5477447698,"(16,)"
1,9,552992.9375,332396.05673060956,"(16,)"
1,10,17124050.9375,4171871.808657707,"(16,)"
1,11,28374774.375,8183396.22856031,"(16,)"
1,12,500565.237265625,345973.60705269244,"(5, 5, 16, 32)"
1,13,606392.9375,455030.26962808595,"(32,)"
1,14,1279257.625,533746.4527189356,"(32,)"
1,15,396102.125,272683.4743958815,"(32,)"
1,16,18233481.5625,6494560.619153582,"(32,)"
1,17,26738293.25,9396104.931659218,"(32,)"
1,18,666540.5252061632,562247.3401927066,"(4608, 200)"
1,19,582100.74,365052.69643145,"(200,)"
1,20,647270.3275,397369.756163803,"(200, 2)"
1,21,579351.0,0.0,"(2,)"
2,0,164033.88375,221828.25179078348,"(5, 5, 1, 32)"
2,1,122861.34375,96525.26487518998,"(32,)"
2,2,192152.15625,195986.57266636108,"(32,)"
2,3,306034.1875,182468.68372552958,"(32,)"
2,4,687528.25,983006.2733461445,"(32,)"
2,5,26120238.0625,6172205.789026956,"(32,)"
2,6,267497.80140625,344028.7972755894,"(5, 5, 32, 16)"
2,7,236248.0,110063.47473957925,"(16,)"
2,8,157752.25,139256.75292490306,"(16,)"
2,9,216482.5625,177925.80324076407,"(16,)"
2,10,7779048.125,5212659.548981077,"(16,)"
2,11,23708397.0,6815178.332012193,"(16,)"
2,12,170384.40921875,166779.19437393174,"(5, 5, 16, 32)"
2,13,236894.9375,199067.71070714504,"(32,)"
2,14,299712.34375,165058.47423102998,"(32,)"
2,15,81510.34375,63198.36245535232,"(32,)"
2,16,10909641.6875,8662716.22669706,"(32,)"
2,17,15042408.875,8213368.046555773,"(32,)"
2,18,339515.5137326389,314644.4306754194,"(4608, 200)"
2,19,148841.955,152301.08013554264,"(200,)"
2,20,169015.025,188719.74011182392,"(200, 2)"
2,21,392314.5,0.5,"(2,)"
3,0,166967.07375,171985.75141525042,"(5, 5, 1, 32)"
3,1,133684.15625,136083.86536183977,"(32,)"
3,2,173660.625,126085.49725626408,"(32,)"
3,3,123081.90625,88770.58538986865,"(32,)"
3,4,362642.09375,490614.57310069015,"(32,)"
3,5,14246208.46875,5545510.521041136,"(32,)"
3,6,229340.916875,263936.6515872398,"(5, 5, 32, 16)"
3,7,90441.8125,81342.34157960012,"(16,)"
3,8,177492.375,133831.56825926524,"(16,)"
3,9,134935.0,89292.65542095274,"(16,)"
3,10,3656204.25,2628640.8545650663,"(16,)"
3,11,12612772.875,5799133.77123144,"(16,)"
3,12,145416.61359375,132322.67120599755,"(5, 5, 16, 32)"
3,13,127419.34375,116018.91655852112,"(32,)"
3,14,173899.46875,131410.88422791136,"(32,)"
3,15,174565.3125,113461.75743516996,"(32,)"
3,16,5828389.09375,3850096.297495276,"(32,)"
3,17,8441728.0625,5030556.9796549985,"(32,)"
3,18,272362.24383572047,251932.5518666971,"(4608, 200)"
3,19,100494.635,171890.1941797198,"(200,)"
3,20,116849.8425,227476.02882320964,"(200, 2)"
3,21,297596.0,0.0,"(2,)"
4,0,230251.29125,326851.4894542802,"(5, 5, 1, 32)"
4,1,162226.3125,217761.74077797125,"(32,)"
4,2,242198.21875,363298.4088106613,"(32,)"
4,3,236221.46875,187995.57533273628,"(32,)"
4,4,315429.71875,386974.07802745927,"(32,)"
4,5,7513472.625,3782867.362254117,"(32,)"
4,6,273679.6009375,333625.8172825983,"(5, 5, 32, 16)"
4,7,221847.0,166267.8913812736,"(16,)"
4,8,242848.4375,141439.92114187952,"(16,)"
4,9,253050.0,234747.96168124655,"(16,)"
4,10,2446336.9375,1584778.6172609595,"(16,)"
4,11,7600467.25,4184686.839182541,"(16,)"
4,12,164388.956796875,148572.00283363587,"(5, 5, 16, 32)"
4,13,260659.40625,220273.22980701993,"(32,)"
4,14,147259.0625,138547.03391333786,"(32,)"
4,15,200785.4375,135490.1190105614,"(32,)"
4,16,2883197.25,2081158.2513202385,"(32,)"
4,17,5730335.28125,3344370.703219191,"(32,)"
4,18,245093.08952256944,240302.90600244259,"(4608, 200)"
4,19,95629.525,180581.7028254783,"(200,)"
4,20,121225.3275,268424.42609775707,"(200, 2)"
4,21,306895.0,0.0,"(2,)"
5,0,165890.33125,219801.5820466814,"(5, 5, 1, 32)"
5,1,128602.25,115843.13177094272,"(32,)"
5,2,117480.96875,146589.38215268278,"(32,)"
5,3,194388.84375,151555.1461284203,"(32,)"
5,4,233914.4375,350240.40083856485,"(32,)"
5,5,5118487.875,2470611.2164514037,"(32,)"
5,6,200854.686171875,216964.4212271566,"(5, 5, 32, 16)"
5,7,157235.3125,119376.625302401,"(16,)"
5,8,145097.4375,97679.44018316288,"(16,)"
5,9,209419.4375,146996.60827038184,"(16,)"
5,10,2080910.0,1813384.647979125,"(16,)"
5,11,3963333.0,3038958.8116931184,"(16,)"
5,12,139927.856484375,128123.58613212191,"(5, 5, 16, 32)"
5,13,218671.25,216631.4775316886,"(32,)"
5,14,115767.65625,72583.0525362194,"(32,)"
5,15,187415.0625,131336.02070022942,"(32,)"
5,16,1832135.03125,2210744.610117546,"(32,)"
5,17,5601639.84375,4357967.95670886,"(32,)"
5,18,199958.4511827257,192609.5408301395,"(4608, 200)"
5,19,82751.035,123601.24216286733,"(200,)"
5,20,99482.3575,196393.74172042674,"(200, 2)"
5,21,121582.0,0.0,"(2,)"
6,0,167393.74875,194790.8728159462,"(5, 5, 1, 32)"
