round,layer_index,avg_diffs,std_dev,shape
8,6,279460.488125,256177.30533663172,"(5, 5, 32, 16)"
8,7,343045.625,216619.66170366295,"(16,)"
8,8,269751.1875,140915.66694224367,"(16,)"
8,9,326994.5,175481.37351511128,"(16,)"
8,10,2038778.6875,1929086.3575302532,"(16,)"
8,11,3328948.3125,2508851.846931025,"(16,)"
8,12,224918.261953125,193822.2567294418,"(5, 5, 16, 32)"
8,13,531679.46875,396158.2423580084,"(32,)"
8,14,262566.25,213853.77923332335,"(32,)"
8,15,189207.625,181505.27995742127,"(32,)"
8,16,2665669.8125,2216993.22409052,"(32,)"
8,17,3893786.625,2836196.7736587822,"(32,)"
8,18,177454.08311197915,212860.32682507238,"(4608, 200)"
8,19,126545.885,180634.51645536014,"(200,)"
8,20,150305.1675,260205.90536827646,"(200, 2)"
8,21,37763.0,0.0,"(2,)"
9,0,268509.5025,452784.8852990043,"(5, 5, 1, 32)"
9,1,175807.3125,294701.8727283385,"(32,)"
9,2,198864.4375,223063.10178749554,"(32,)"
9,3,261799.3125,206176.24861608658,"(32,)"
9,4,395997.59375,871446.2301442449,"(32,)"
9,5,354988.03125,72044.94064015025,"(32,)"
9,6,239639.832265625,231538.86612597923,"(5, 5, 32, 16)"
9,7,252293.6875,192692.38432950547,"(16,)"
9,8,235315.8125,125708.35245281972,"(16,)"
9,9,439367.5,291129.7335297874,"(16,)"
9,10,1486623.1875,1634821.1226003908,"(16,)"
9,11,1981560.25,1674931.4455504776,"(16,)"
9,12,240600.59484375,206759.46830613512,"(5, 5, 16, 32)"
9,13,589185.4375,297666.0943608771,"(32,)"
9,14,249550.40625,256890.38675460144,"(32,)"
9,15,334126.21875,181226.61324167016,"(32,)"
